DM_INSTITUCION_COD_INSTITUCION,NOMBRE,CCB_NIT_INST,ORDEN,SUBORDEN,NIVEL_INSTITUCION,CLASIFICACION_ORGANICA,SECTOR,NATURALEZA_JURIDICA,TIPO_INSTITUCION,IDMUNICIPIO,MUNICIPIO,IDDEPARTAMENTO,DEPARTAMENTO,DIRECCION,FAX,EMAIL,CCB_TELEFONO,CCB_PAGINA_WEB,LONGITUD,LATITUD,ESTADO_INS,NOMBRE_REPRESENTANTE,CARGO_REPRESENTANTE
2893,EMPRESA SOCIAL DEL ESTADO CAMU DE LOS CORDOBAS - LOS CORDOBAS,812003996,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,419,LOS CÓRDOBAS,23,CÓRDOBA,"""frente al parque principal""",7603005,NULL,3145886290,NO DISPONIBLE,-76.354305,8.905616,ACTIVA,NULL,NULL
4029,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS CAQUEZA S.A.,900252764,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL,VINCULADAS,151,CÁQUEZA,25,CUNDINAMARCA,"""Calle 3  No. 3A - 07 Sur Barrio San Fernando""",8480961,NULL,8480068,NO DISPONIBLE,-73.946686,4.405637,ACTIVA,NULL,NULL
5266,PERSONERIA DE IPIALES,800255466,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,356,IPIALES,52,NARIÑO,"""Carrera 8 No. 6-35 Casa de Justicia""",NULL,NULL,7254999,http://www.personeria-ipiales.gov.co,-77.639504,.825542,ACTIVA,NULL,NULL
1924,CONCEJO DE PALMIRA,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,520,PALMIRA,76,VALLE DEL CAUCA,"""Palmira - Valle del Cauca""",NULL,NULL,NULL,http://concejopalmira.gov.co,-76.297166,3.537972,ACTIVA,NULL,NULL
2171,CONCEJO DE GRAMALOTE,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,313,GRAMALOTE,54,NORTE DE SANTANDER,"""AVENIDA 5 N 14  87 Barrio Centro San José de Cúcuta""",5727200,NULL,5727200,http://www.gramalote-nortedesantander.gov.co,-72.796795,7.887786,ACTIVA,NULL,NULL
2128,CONCEJO DE EL PASO,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,250,EL PASO,20,CESAR,"""VACIA""",NULL,NULL,NULL,NO DISPONIBLE,-73.74643,9.661436,ACTIVA,NULL,NULL
5959,PERSONERIA DE SANTA ROSALIA,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,624,SANTA ROSALÍA,99,VICHADA,"""Carrera 7 No. 5-14""",NULL,NULL,3118913584,NO DISPONIBLE,-70.864961,5.135381,ACTIVA,NULL,NULL
0389,ALCALDIA DE EL PAUJIL,800095763,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,256,EL PAUJÍL,18,CAQUETÁ,"""calle 5° carrera 5° esq.""",4314080,NULL,4314080,http://www.elpaujil-caqueta.gov.co,-75.326698,1.571227,ACTIVA,LUDIVIA  HERNANDEZ CALDERON,NULL
0977,ALCALDIA DE ROVIRA,800100138,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,624,ROVIRA,73,TOLIMA,"""Cl  3 # 1 - 50""",28800455,NULL,2880066,http://www.rovira-tolima.gov.co,-75.239679,4.239304,ACTIVA,DIEGO ANDRÈS GUERRA QUINTERO,NULL
6062,PERSONERIA DE VENTAQUEMADA,900960291,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,861,VENTAQUEMADA,15,BOYACÁ,"""Calle 4 No 3-17""",7366001,NULL,7366089,www.personeria-ventaquemada.gov.co,-73.522672,5.372167,ACTIVA,ROSA MARIA QUIROGA AMADO,NULL
6114,REFORESTADORA INTEGRAL DE ANTIOQUIA S.A,811038424,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,SOCIEDAD DE ECONOMÍA MIXTA,VINCULADAS,1,MEDELLÍN,05,ANTIOQUIA,"""Carrera 47 # 49-12\r\n""",4229564,NULL,4488310,http://www.riaforestal.org,-75.564574,6.2530471,ACTIVA,NULL,NULL
12630,CATASIG SAS EICE,901554931,TERRITORIAL,DEPARTAMENTAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,,638,SABANALARGA,08,ATLÁNTICO,""" CARRERA 21 - 22 09 LC 1""",NULL,NULL,NULL,NO DISPONIBLE,-74.920163,10.632409,ACTIVA,JUAN RAFAEL ROA CORONADO,NULL
2460,CONCEJO DE SAN JUAN DE BETULIA,800225132,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,702,SAN JUAN DE BETULIA,70,SUCRE,"""Carrera 7 Calle La Esperanza- Esquina Barrio Centro""",NULL,NULL,2490267,www.sanjuandebetuliasucre.gov.co,-75.243774,9.274374,ACTIVA,ALBERTO MANUEL ACOSTA AVILEZ,NULL
5136,"PERSONERIA DISTRITAL DE CARTAGENA DE INDIAS, DISTRITO TURISTICO Y CULTURAL",806000084,TERRITORIAL,DISTRITAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA DISTRITAL,NO APLICA,1,CARTAGENA DE INDIAS,13,BOLÍVAR,"""Centro Calle del Candilejo No. 33-35""",NULL,NULL,6642231,http://www.personeriacartagena.gov.co,-75.479426,10.391049,ACTIVA,NULL,NULL
2091,CONCEJO DE ZAPATOCA,890204138,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,895,ZAPATOCA,68,SANTANDER,"""Kra 9 No 20 - 36 ofc 210""",6252801,NULL,6252465,http://www.zapatoca.com,-73.272537,6.813882,ACTIVA,NULL,NULL
5301,PERSONERIA DE LETICIA,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,1,LETICIA,91,AMAZONAS,"""VACIA""",NULL,NULL,NULL,NO DISPONIBLE,-69.935907,-4.203165,ACTIVA,NULL,NULL
3897,EMPRESA DE SERVICIOS PUBLICOS CABRERANA DE SERVICIOS PUBLICOS S.A.,900253669,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL,VINCULADAS,121,CABRERA,68,SANTANDER,"""Alcaldia - 1er. Piso""",7248967,NULL,3208468297,NO DISPONIBLE,-73.246056,6.591379,ACTIVA,NULL,NULL
0090,ALCALDIA DE ANSERMANUEVO  VALLE DEL CAUCA,800100532,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,41,ANSERMANUEVO,76,VALLE DEL CAUCA,"""Cra. 4 No. 7-09 Esquina""",2052418,NULL,2052183,http://www.ansermanuevo-valle.gov.co,-76.1212903546463,4.72709613634352,ACTIVA,JUAN JOSE BUITRAGO VALENCIA,NULL
8398,CONSEJO PROFESIONAL DE INGENIERIA QUIMICA DE COLOMBIA,860509339,NACIONAL,NO APLICA,NO APLICA,ORGANOS AUTÓNOMOS,NO APLICA,ORGANOS AUTÓNOMOS,NO APLICA,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CALLE 99 N 49  78 Oficina 305. Edificio Castellana 99 Business Center.""",NULL,NULL,8053003,http://www.cpiq.gov.co,-74.072092,4.710989,ACTIVA,NULL,NULL
0620,ALCALDIA DE GUACAMAYAS,800012631,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,317,GUACAMAYAS,15,BOYACÁ,"""Carrera 5 N. 3-35""",7880283,NULL,3102045655,http://www.guacamayas-boyaca.gov.co,-72.500009,6.459443,ACTIVA,NULL,NULL
2666,CONTRALORIA GENERAL DE CALDAS,800077897,TERRITORIAL,DEPARTAMENTAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,CONTRALORÍA DEPARTAMENTAL,NO APLICA,1,MANIZALES,17,CALDAS,"""Carrera 21 entre calles 22 y 21 Edificio de la Gobernación Segundo Piso""",8840869,NULL,8831229,https://www.contraloriageneraldecaldas.gov.co,-75.513817,5.070275,ACTIVA,NULL,NULL
1276,ALCALDIA DE YARUMAL,890980096,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,887,YARUMAL,05,ANTIOQUIA,"""Calle 20 #20-05""",NULL,NULL,8537429,http://www.yarumal.gov.co,-75.419069,6.961969,ACTIVA,Miguel Angel Pélaez Henao,NULL
1883,CONCEJO DE MATANZA,890206696,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,444,MATANZA,68,SANTANDER,"""Carrera 5 No. 5 - 85""",NULL,NULL,6298202,http://www.matanza-santander.gov.co,-73.015958,7.32278,ACTIVA,NULL,NULL
1092,ALCALDIA DE SANTA ROSA,800095984,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,701,SANTA ROSA,19,CAUCA,"""Santa Rosa Cauca""",3122117695,NULL,3122117695,http://www.santarosa-cauca.gov.co,-76.573617,1.703026,ACTIVA,DIEGO ANDRES ORTIZ BAMBAGUE,NULL
2927,CENTRO DE SALUD COLOSO - SUCRE,900206237,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,204,COLOSÓ,70,SUCRE,"""Carrera 5   4A-21 Calle Principal""",2814945,NULL,2499852,NO DISPONIBLE,-75.355767,9.490946,ACTIVA,NULL,NULL
1613,CONCEJO DE CERRITO,890209889,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,162,CERRITO,68,SANTANDER,"""Carrera 6 No. 6-52 Palacio municipal""",6602201,NULL,6602201,http://www.cerrito-santander.gov.co,-72.696951,6.839006,ACTIVA,NULL,NULL
0562,ALCALDIA DE EL ROSARIO,800099079,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,256,EL ROSARIO,52,NARIÑO,"""CAM Barrio Centro - frente al parque principal""",7201585,NULL,7265459,http://www.elrosario-narino.gov.co,-77.335095,1.74307,ACTIVA,LAURO NEL ARTURO GUERRERO,NULL
2736,DEPARTAMENTO ADMINISTRATIVO DE TRANSITO Y TRANSPORTE DE VILLA DEL ROSARIO,900004811,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,DEPARTAMENTO ADMINISTRATIVO,VINCULADAS,874,VILLA DEL ROSARIO,54,NORTE DE SANTANDER,"""Dir CC Las Lomas Loc 201 Autopista Internacional San Antonio""",5705898,NULL,5946628,http://www.datransvilladelrosario.gov.co,-72.46969,7.843788,ACTIVA,JORGEN ADRIAN ARDILA DIAZ,NULL
0700,ALCALDIA DE LA PEÑA,899999721,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,398,LA PEÑA,25,CUNDINAMARCA,"""Carrera 3 No. 6-61""",8449026,NULL,3103012128,http://www.lapena-cundinamarca.gov.co,-74.394626,5.198399,ACTIVA,LUIS ANGEL FARFAN,NULL
8479,"EMPRESA DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE MORROA S.A ESP",900230374,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,SOCIEDADES PUBLICAS POR ACCIONES,NO APLICA,473,MORROA,70,SUCRE,"""Carrera 7# 9- 37 barrio la plaza""",NULL,NULL,3046105923,NO DISPONIBLE,-75.307733,9.332193,ACTIVA,NULL,NULL
2621,CONCEJO DE VITERBO,800090833,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,877,VITERBO,17,CALDAS,"""Carrera 8 N° 7 - 63 Piso 2""",8690090,NULL,8690173,http://www.viterbo-caldas.gov.co,-75.872356,5.060578,ACTIVA,NULL,NULL
1080,ALCALDIA DE SANTA ANA,891780056,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,707,SANTA ANA,47,MAGDALENA,"""Calle 2 No. 5 - 56""",6837474,NULL,3116567627,http://santaana-magdalena.gov.co,-74.570544,9.322961,ACTIVA,WUILLMAN ANTONIO BERMUDEZ SILVERA,NULL
5054,PERSONERIA DE COVARACHIA,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,218,COVARACHÍA,15,BOYACÁ,"""VACIA""",NULL,NULL,NULL,NO DISPONIBLE,-72.739244,6.500365,ACTIVA,NULL,NULL
0697,ALCALDIA DE LA PALMA,899999369,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,394,LA PALMA,25,CUNDINAMARCA,"""Carrera 4 No. 4- 45""",NULL,NULL,NULL,http://www.lapalma-cundinamarca.gov.co,-74.390683,5.358433,ACTIVA,JOHN JAIRO PULIDO PULGARIN,NULL
0673,ALCALDIA DE JORDAN,800124166,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,370,JORDÁN,68,SANTANDER,"""Casco urbano - Municipio de Jordán""",7242015,NULL,3112456522,http://www.jordan-santander.gov.co,-73.095942,6.732449,ACTIVA,Arnulfo  Castro Ferreira,NULL
2359,CONCEJO DE PONEDERA,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,560,PONEDERA,08,ATLÁNTICO,"""Calle 11 No 16 - 64""",NULL,NULL,3205236800,http://www.ponedera-atlantico.gov.co,-74.753281,10.641772,ACTIVA,NULL,NULL
1471,COMERCIALIZADORA E INTRODUCTORA DE LICORES DE RISARALDA,816007203,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,VINCULADAS,1,PEREIRA,66,RISARALDA,"""MERCASA GALPON 1 BODEGA 16""",3200300,NULL,3200300,NO DISPONIBLE,-75.690601,4.808717,ACTIVA,NULL,NULL
5180,PERSONERIA DE CURITI,800099489,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,229,CURITÍ,68,SANTANDER,"""CALLE 8   8  64 PALACIO MUNICIPAL PARQUE PRINCIPAL""",7187245,NULL,7187437,http://www.curiti-santander.gov.co,-73.069241,6.604594,ACTIVA,Erika Paola Motta Ayala,NULL
4246,EMPRESA VIAL Y TRANSPORTE DEL MUNICIPIO DE QUINCHIA,816003241,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,VINCULADAS,594,QUINCHÍA,66,RISARALDA,"""CARRERA 6    5  13  """,3563015,NULL,3564058,www.QUINCHIARISARALDA.GOV.CO,-75.690624,5.329157,ACTIVA,WILLIAM ANTONIO BERMUDEZ MALDONADO,NULL
4448,HOSPITAL SAN VICENTE DE PAUL DE ARANZAZU CALDAS,890802218,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,50,ARANZAZU,17,CALDAS,"""Carrera 2 Nro 4-12""",8510290,NULL,8510182,NO DISPONIBLE,-75.490582,5.271896,ACTIVA,MONICA JARAMILLO QUINTERO,NULL
1991,CONCEJO DE GIRON,210768307,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,307,GIRÓN,68,SANTANDER,"""Calle 3 No 24-43""",NULL,NULL,6469808,http://www.giron-santander.gov.co,-73.169265,7.073968,ACTIVA,NULL,NULL
3583,HOSPITAL SAN JOSE DE MAICAO DE NIVEL II,892120115,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,430,MAICAO,44,LA GUAJIRA,"""Calle 16 # 39A BIS-31 Troncal Caribe""",7268718,NULL,7241000,http://www.esesanjosedemaicao.gov.co,-72.248517,11.378934,ACTIVA,NULL,NULL
0604,ALCALDIA DE GAMBITA - SANTANDER,800099691,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,298,GÁMBITA,68,SANTANDER,"""Cra 9 4-28""",7583944,NULL,3138476863,http://gambita-santander.gov.co,-73.344306,5.945605,ACTIVA,NULL,NULL
0307,ALCALDIA DE CUMARIBO,842000017,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,773,CUMARIBO,99,VICHADA,"""Calle 8 Nº 13-37 Barrio el Centro (Parque Alcaldia)""",3138170324,NULL,3125240465,http://cumaribo-vichada.gov.co,-69.798685,4.444497,ACTIVA,Juan Carlos Cordero Rojas,NULL
1889,CONCEJO DE MISTRATO,800037075,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,456,MISTRATÓ,66,RISARALDA,"""CARRERA 6 N 5  70 . Palacio Municipal""",3526245,NULL,3526002,http://www.mistratorisaralda.gov.co,-75.882128,5.299077,ACTIVA,Manuel Antonio Cano Saldarriaga,NULL
3100,HOSPITAL  JOSE MARIA HERNANDEZ  - MOCOA,891200679,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,1,MOCOA,86,PUTUMAYO,"""calle 14 # 7 - 26 Avenida San Francisco""",4295971,NULL,4296056,http://www.esehospitalmocoa.gov.co,-76.647655,1.145859,ACTIVA,NULL,NULL
4982,"PERSONERIA DE BUENAVISTA -- BUENAVISTA, SUCRE",823002339,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,110,BUENAVISTA,70,SUCRE,"""CALLE 8 N °  7 - 08""",NULL,NULL,2901249,www.personeriabuenavistasucre.gov.co,-75.482981,8.222953,ACTIVA,ALBERTO CARLOS CORREA GARCIA,NULL
0351,UNIDAD ADMINISTRATIVA ESPECIAL DEL SISTEMA ESTRATEGICO DE TRANSPORTE PUBLICO DE PASTO,900358918,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,1,PASTO,52,NARIÑO,"""Calle 20 No. 38 -20""",NULL,NULL,7314912,NO DISPONIBLE,-77.285787,1.205884,ACTIVA,NULL,NULL
5710,PERSONERIA DE LOURDES,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,418,LOURDES,54,NORTE DE SANTANDER,""" CARRERA 4 - 3 36 Barrio la Loma 2do Piso Palacio Municipal""",NULL,NULL,NULL,NO DISPONIBLE,-72.831844,7.944831,ACTIVA,ROMIS SAMIR GARCIA RODRIGUEZ,NULL
4684,INSTITUTO MUNICIPAL DE DEPORTE Y RECREACION IMDER - EL RETIRO,811007361,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,607,RETIRO,05,ANTIOQUIA,"""carrera 20 No. 25-50 COLISEO MUNICIPAL""",5411019,NULL,5411019,NO DISPONIBLE,-75.502582,6.060955,ACTIVA,NULL,NULL
3335,HOSPITAL BARRANCAS,800101022,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,78,BARRANCAS,44,LA GUAJIRA,"""Calle 11  # 10 - 56""",7748026,NULL,7748026,NO DISPONIBLE,-72.795543,10.955642,ACTIVA,NULL,NULL
3672,PRESTADORA DE SERVICIOS DE SALUD GUSTAVO ROMERO HERNANDEZ,820002657,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,804,TIBANÁ,15,BOYACÁ,"""Tibaná Centro""",7338021,NULL,3105505672,NO DISPONIBLE,-73.397943,5.316775,ACTIVA,NULL,NULL
2358,CONCEJO DE POLO NUEVO,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,558,POLONUEVO,08,ATLÁNTICO,"""CALLE 3 No. 9 - 10""",NULL,NULL,8764520,http://www.polonuevo-atlantico.gov.co,-74.853162,10.777471,ACTIVA,NULL,NULL
1927,CONCEJO DE PASCA,890680154,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,535,PASCA,25,CUNDINAMARCA,NULL,8688060,NULL,8688060,http://www.concejopascacundinamarca.gov.co,-74.299995,4.308498,ACTIVA,FERNEY HUMBERTO ARIAS GONZALEZ,NULL
1132,ALCALDIA DE SOGAMOSO,891855130,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,759,SOGAMOSO,15,BOYACÁ,"""Edificio el pintor Calle 15 No. 11-79""",7702040,NULL,7702040,http://www.sogamoso-boyaca.gov.co,-72.931129,5.716085,ACTIVA,Rigoberto  Alfonso Perez,NULL
0422,ALCALDIA DE MALAGA,890205229,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,432,MÁLAGA,68,SANTANDER,"""cll 12 No 8-51""",6615339,NULL,6615339,http://www.malaga.gov.co,-72.729891,6.703858,ACTIVA,OSCAR MIGUEL JOYA ARENALES,NULL
2029,CONCEJO DE SOLEDAD,802001758,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,758,SOLEDAD,08,ATLÁNTICO,"""VACIA""",NULL,NULL,NULL,www.concejodesoledad-atlantico.gov.co,-74.799071,10.917049,ACTIVA,NULL,NULL
4568,INSTITUTO DE MOVILIDAD Y TRANSPORTE DE TAME -ARAUCA,900239658,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,794,TAME,81,ARAUCA,"""Calle 11 No. 14 - 59""",8886387,NULL,NULL,NO DISPONIBLE,-71.745515,6.457094,ACTIVA,NULL,NULL
5102,PERSONERIA DE BARRANCABERMEJA,829001855,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,81,BARRANCABERMEJA,68,SANTANDER,"""Calle 52 # 10 -12 Barrancabermeja""",NULL,NULL,6213765,http://www.personeriabarrancabermeja.gov.co,-73.851932,7.061708,ACTIVA,NULL,NULL
1632,CONCEJO DE CICUCO,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,188,CICUCO,13,BOLÍVAR,"""VACIA""",NULL,NULL,NULL,NO DISPONIBLE,-74.64532,9.27682,ACTIVA,NULL,NULL
2707,ASAMBLEA DEPARTAMENTAL DE GUAVIARE,NULL,TERRITORIAL,DEPARTAMENTAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,ASAMBLEA DEPARTAMENTAL,NO APLICA,1,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,"""Cl 8 23-70""",5840687,NULL,5841063,NO DISPONIBLE,-72.641727,2.568549,ACTIVA,NULL,NULL
3307,HOSPITAL  SANTA ISABEL  -SAN PEDRO DE LOS MILAGROS,800014405,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,664,SAN PEDRO DE LOS MILAGROS,05,ANTIOQUIA,"""calle 43A No 52A-109""",8687610,NULL,8687610,NO DISPONIBLE,-75.54712,6.46363,ACTIVA,NULL,NULL
3340,ESE HOSPITAL MALVINAS HECTOR OROZCO OROZCO - FLORENCIA,828000386,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,1,FLORENCIA,18,CAQUETÁ,"""avenida circunvalar calle 4""",4344614,NULL,4352100,http://www.hospitalmalvinas.gov.co,-75.604236,1.615386,ACTIVA,NULL,NULL
0493,ALCALDIA DE SOLEDAD,890106291,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,758,SOLEDAD,08,ATLÁNTICO,"""Kilometro 4 Prolongación Murillo Gran Central de Abastos del Caribe Local 6""",3282415,NULL,3282188,http://www.soledad-atlantico.gov.co,-74.799071,10.917049,ACTIVA,RODOLFO  UCROS ROSALES,NULL
5847,PERSONERIA DE QUETAME,800094716,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,594,QUETAME,25,CUNDINAMARCA,"""Carrera 4ta No. 4-93 Quetame""",8492018,NULL,8492058,http://quetame-cundinamarca.gov.co,-73.863183,4.32998,ACTIVA,NULL,NULL
